id	ua
3316	Anveo Server v10.3
3315	Anveo Server v10.4
2944	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015A31A1F8E
3003	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015CEE888F8
3038	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015CF9F5CBE
3010	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015CFA24AD3
2966	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015CFF6AEB1
3122	ARRIS-TM504G release v.6.2.109.SIP.PC20.NOUSB SN/0015CFF6AF20
3110	ARRIS-TM602G release v.6.4.54.SIP.PC20 SN/0015CF10258E
3059	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/0015D0AF2179
3040	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/0015D0B074B2
3051	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/0015D133623A
3375	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCD53EAAD
3128	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCD53F389
3264	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCDD88F08
3012	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCDD89895
2963	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCDE8B257
3120	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCDE8BD7F
3019	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCE5B8D14
2958	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCE5B9539
3006	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCE64D526
3153	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCFDC52D1
3160	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCFDF30BD
2989	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCFDF47A3
3055	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DCFE4B035
3082	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD027AFAD
3358	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD2D5B1D4
2969	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD3E16245
3096	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD3EAB027
3181	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD4B28F51
4069	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD4B82360
2946	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD5E8ECAA
3009	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/001DD5F2B565
3171	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/00ACE020BEE6
3374	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/207355C424BD
2996	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/5C571A551454
4057	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/5C571A5530DD
2982	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/5C571A6E82F0
2973	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/8C09F45CB24E
2941	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/8C09F45D1FFB
3086	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/ACB313E5C921
2978	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/CCA4625789E6
3050	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/CCA462637E9D
2957	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/E8892C9FD9C0
2961	ARRIS-TM604G release v.6.4.54.SIP.PC20 SN/E8892CA2098B
4066	ARRIS-TM604G release v.6.4.60.SIP.PC20 SN/0015D1519C60
3138	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFD91A61
2959	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFF6133B
2995	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFF6DE15
3042	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFF95310
3355	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFFAD3D9
3184	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015CFFF163E
3023	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D085DC63
3036	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D0AF6D57
2940	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D0B4CE5A
3007	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D0C8A072
3387	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D0C8DAA7
2950	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D0C9FAA7
2956	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D182D061
3345	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/0015D1B1C448
2955	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCDDD6F11
2980	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCDEA8669
2983	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCE1378CD
3011	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCEC28B65
3067	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCEFE143E
3169	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCFE1CAC3
3346	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCFE1DCBD
3080	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DCFE1DEF4
3116	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD07C6E36
3057	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD2D56B69
3307	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD2D581DA
2988	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD3E696A5
2999	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD3E69708
3088	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD4AFA3CA
3037	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD4AFA544
3350	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD563095A
3152	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD56310B9
2968	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD5653B44
2964	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD5653D87
3154	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD5EED954
3342	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD68562F0
3002	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/001DD6856CD7
2960	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE022A07E
3384	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE022B896
3170	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE022BBE7
3049	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE022CCD9
3367	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE022CDB4
2952	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/00ACE023AC68
2945	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/14CFE218E629
3045	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/14CFE218E725
4036	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/5C571A64BA05
3001	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/5C571A64C593
2965	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/5C571A702630
2974	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/8C09F46551C1
2992	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/90C7928D4F07
2993	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/ACB313E32120
4040	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/ACB313E33749
3048	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/E83EFC3143E1
3005	ARRIS-TM608G release v.6.4.54.ML.SIP.PC20 SN/E83EFC39520A
3041	ARRIS-TM722G release v.7.6.59F.SIP.PC20 SN/001DCEFDCEF6
3093	ARRIS-TM722G release v.9.1.103M2D.SIP.PC20.CT SN/001DCDED75EC
3069	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/00ACE029AD79
2984	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/00ACE029F300
3083	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/384C90C5E6D1
3084	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/ACEC805F6EB0
2953	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/ACEC807B7F66
2962	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/ACEC807B91EA
2954	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/ACEC807FD788
3054	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/ACEC80EA4728
2976	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/E8ED050102FE
2967	ARRIS-TM804G release v.7.6.59M.SIP.PC20 SN/E8ED0502BACC
4037	ARRIS-TM804G release v.9.1.103M2AB.SIP.PC20.CT SN/287AEE04CB61
4055	ARRIS-TM804G release v.9.1.103M2AB.SIP.PC20.CT SN/384C90C5E6D1
4049	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/287AEE37E3DC
3383	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/384C90C35D48
3359	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/384C90C3624C
3392	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/6019717C42E9
3363	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/ACEC807B7F66
3370	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/ACEC80EA6C5D
3376	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/BCCAB5141687
4065	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/BCCAB5141BD0
3239	ARRIS-TM804G release v.9.1.103M2D.SIP.PC20.CT SN/BCCAB51ABA0D
2948	Asterisk
17	Asterisk PBX
85	Asterisk PBX 1.6.0.20
81	Asterisk PBX 1.6.0.26-FONCORE-r78
59	Asterisk PBX 1.6.0.28-samy-r108
3089	Asterisk PBX 1.6.1.1
1379	Asterisk PBX 1.6.2.1
56	Asterisk PBX 1.6.2.13
58	Asterisk PBX 1.8.10.1~dfsg-1ubuntu1
3464	Asterisk PBX 1.8.8.0
482	Asterisk PBX 11.11.0
3251	Asterisk PBX 11.17.1
628	Asterisk PBX 11.6-cert6
621	Asterisk PBX 11.7.0~dfsg-1ubuntu1
535	Asterisk PBX 13.3.2
3063	Asterisk PBX 13.7.2
3928	Asterisk PBX1.8
2665	AUDC-IPPhone/1.2.2_build_5 (320HD; 00908F22412A)
2279	AUDC-IPPhone/1.2.2_build_5 (320HD; 00908F224235)
2908	AUDC-IPPhone/1.4.1_build_32_5 (320HD; 00908F224235)
1946	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (310HD; 00908F298061)
3209	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F15AC42)
1954	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F223E35)
2424	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F223F52)
2273	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F224082)
2449	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F224F0A)
2448	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F224F12)
1887	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F2250BD)
1950	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F2250D4)
1953	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F225196)
2427	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F2251CD)
1952	AUDC-IPPhone/1.6.0_p008_build_44_ce6 (320HD; 00908F22565D)
3683	Audiocodes-Sip-Gateway-MP-112 FXS/v.6.20A.022.003
3560	Australian Phone
2991	AustraliaNET
3924	Avaya CM/R013x.01.3.640.2
3937	Avaya IP Phone 1120E
3934	Avaya IP Phone 1140E
4024	Avaya one-X
3837	Avaya one-X Deskphone
3583	AVAYA/SPICE/v1.0+(9650)/Std/0.1
3216	AVM FRITZ!Box Fon WLAN 7050 (UI) 14.04.33 (May 10 2007)
3058	AVM FRITZ!Box Fon WLAN 7170 (fs) 29.04.80 (Jan 27 2010)
4048	azoro 1.2
3946	Azzhole
3535	b
3761	Back
3536	BaSeL-X
3915	Bein Sports
1106	Bria 3 release 3.3.2 stamp 65843
826	Bria 3 release 3.5 stamp 69243
457	Bria 3 release 3.5.4 stamp 70928
39	Bria 3 release 3.5.5  stamp 71238
752	Bria 3 release 3.5.5 stamp 71243
285	Bria 4 4.0 72776-850a3253-W6.1
271	Bria 4 4.1 73903-a57e45d2-M
516	Bria 4 4.1.1 74246--W6.1
236	Bria 4 4.1.1 74246--W6.2
446	Bria 4 4.1.1 74246-000238dd-W6.1
348	Bria 4 4.1.1 74246-00b96b15-W6.1
184	Bria 4 4.1.1 74246-05b75354-W6.1
836	Bria 4 4.1.1 74246-05d11276-W6.1
678	Bria 4 4.1.1 74246-06291973-W6.1
656	Bria 4 4.1.1 74246-06c2ace4-W6.1
165	Bria 4 4.1.1 74246-07ab2f5e-W6.1
229	Bria 4 4.1.1 74246-08f6c477-W6.1
440	Bria 4 4.1.1 74246-096d9fef-W6.1
289	Bria 4 4.1.1 74246-0c7f8c8a-W6.1
227	Bria 4 4.1.1 74246-0ce3f75d-W6.1
95	Bria 4 4.1.1 74246-0ee30362-W6.1
588	Bria 4 4.1.1 74246-0fd395f2-W6.1
648	Bria 4 4.1.1 74246-0ffaff75-W6.1
671	Bria 4 4.1.1 74246-11943b94-W6.1
442	Bria 4 4.1.1 74246-12bcacdf-W6.1
634	Bria 4 4.1.1 74246-14fc64a9-W6.1
426	Bria 4 4.1.1 74246-150e17e7-W6.1
466	Bria 4 4.1.1 74246-1583ec45-W6.1
470	Bria 4 4.1.1 74246-16122b93-W6.1
975	Bria 4 4.1.1 74246-16b0c009-W6.1
196	Bria 4 4.1.1 74246-183872ed-W6.1
199	Bria 4 4.1.1 74246-1ac3821b-W6.2
145	Bria 4 4.1.1 74246-1b07e7c5-W6.1
619	Bria 4 4.1.1 74246-1b58f09f-W6.1
267	Bria 4 4.1.1 74246-1c554cce-W6.1
323	Bria 4 4.1.1 74246-1ca153e5-W6.1
747	Bria 4 4.1.1 74246-1cac4148-W6.1
590	Bria 4 4.1.1 74246-1f25cd84-W6.1
589	Bria 4 4.1.1 74246-1fe18f45-W6.1
216	Bria 4 4.1.1 74246-1ff1c020-W6.1
415	Bria 4 4.1.1 74246-2086f15c-W6.1
409	Bria 4 4.1.1 74246-224954eb-W6.1
411	Bria 4 4.1.1 74246-25066b66-W6.1
374	Bria 4 4.1.1 74246-25f8085d-W6.2
260	Bria 4 4.1.1 74246-26348f04-W6.1
375	Bria 4 4.1.1 74246-28d1f108-W6.2
259	Bria 4 4.1.1 74246-2ac7d307-W6.1
541	Bria 4 4.1.1 74246-2b48f7a9-W6.1
437	Bria 4 4.1.1 74246-2c07b3a6-W6.1
256	Bria 4 4.1.1 74246-2e2af97f-W6.1
417	Bria 4 4.1.1 74246-2e8646dc-W6.1
669	Bria 4 4.1.1 74246-2f9e3757-W6.1
416	Bria 4 4.1.1 74246-30bb5482-W6.1
143	Bria 4 4.1.1 74246-30c17da8-W6.1
401	Bria 4 4.1.1 74246-30ede448-W6.1
638	Bria 4 4.1.1 74246-315055fa-W6.1
258	Bria 4 4.1.1 74246-32348fba-W6.1
223	Bria 4 4.1.1 74246-32fbd1d6-W6.1
412	Bria 4 4.1.1 74246-36088112-W6.1
670	Bria 4 4.1.1 74246-36a2addf-W6.1
399	Bria 4 4.1.1 74246-38001d0e-W6.1
339	Bria 4 4.1.1 74246-38e67547-W6.1
603	Bria 4 4.1.1 74246-3d3443e1-W6.1
762	Bria 4 4.1.1 74246-3e4a7b33-W6.1
429	Bria 4 4.1.1 74246-41e35745-W6.1
335	Bria 4 4.1.1 74246-42c364f5-W6.1
441	Bria 4 4.1.1 74246-43923fbc-W6.1
659	Bria 4 4.1.1 74246-44ee22b9-W6.1
307	Bria 4 4.1.1 74246-454c92a8-W6.1
675	Bria 4 4.1.1 74246-45f75f52-W6.1
676	Bria 4 4.1.1 74246-4649d897-W6.1
667	Bria 4 4.1.1 74246-479ca777-W6.1
278	Bria 4 4.1.1 74246-490ff819-W6.1
452	Bria 4 4.1.1 74246-492ca6a9-W6.2
533	Bria 4 4.1.1 74246-49485f39-W6.1
319	Bria 4 4.1.1 74246-49765203-W6.1
413	Bria 4 4.1.1 74246-4a0f9fc9-W6.1
586	Bria 4 4.1.1 74246-4ead0562-W6.1
139	Bria 4 4.1.1 74246-50f22d54-W6.1
222	Bria 4 4.1.1 74246-51185305-W6.2
326	Bria 4 4.1.1 74246-522135c4-W6.2
419	Bria 4 4.1.1 74246-52f6f4bc-W6.1
408	Bria 4 4.1.1 74246-539b8d25-W6.1
224	Bria 4 4.1.1 74246-53bf9044-W6.1
390	Bria 4 4.1.1 74246-53cbbbc1-W6.1
685	Bria 4 4.1.1 74246-54b1828b-W6.1
200	Bria 4 4.1.1 74246-54f6e911-W6.1
677	Bria 4 4.1.1 74246-561b7649-W6.1
367	Bria 4 4.1.1 74246-56509523-W6.1
228	Bria 4 4.1.1 74246-59a1c027-W6.1
168	Bria 4 4.1.1 74246-59a98293-W6.1
650	Bria 4 4.1.1 74246-5c17734e-W6.1
403	Bria 4 4.1.1 74246-5c6b9b87-W6.1
635	Bria 4 4.1.1 74246-5e339328-W6.1
433	Bria 4 4.1.1 74246-5e4f5ea0-W6.1
633	Bria 4 4.1.1 74246-5ea1d882-W6.1
195	Bria 4 4.1.1 74246-5ffb3751-W6.1
479	Bria 4 4.1.1 74246-6353550f-W6.1
217	Bria 4 4.1.1 74246-63a9d76b-W6.1
672	Bria 4 4.1.1 74246-64b86d4c-W6.1
395	Bria 4 4.1.1 74246-64fc94a0-W6.1
472	Bria 4 4.1.1 74246-655a5521-W6.1
620	Bria 4 4.1.1 74246-66843fa3-W6.1
210	Bria 4 4.1.1 74246-6738c3cb-W6.2
510	Bria 4 4.1.1 74246-6b5e06da-W6.1
328	Bria 4 4.1.1 74246-6c05b68d-W6.2
550	Bria 4 4.1.1 74246-6d3078f8-W6.1
394	Bria 4 4.1.1 74246-6d817b13-W6.1
140	Bria 4 4.1.1 74246-6de70db0-W6.1
420	Bria 4 4.1.1 74246-6e213e0d-W6.1
563	Bria 4 4.1.1 74246-6f5ae419-W6.1
570	Bria 4 4.1.1 74246-70743be6-W6.1
422	Bria 4 4.1.1 74246-70ba2a4f-W6.1
443	Bria 4 4.1.1 74246-70fcfa2a-W6.1
407	Bria 4 4.1.1 74246-73568177-W6.1
673	Bria 4 4.1.1 74246-756127cd-W6.1
215	Bria 4 4.1.1 74246-75763259-W6.1
111	Bria 4 4.1.1 74246-759ebd5d-W6.1
327	Bria 4 4.1.1 74246-762cd526-W6.1
820	Bria 4 4.1.1 74246-77488fe0-W6.1
658	Bria 4 4.1.1 74246-78f2219c-W6.1
183	Bria 4 4.1.1 74246-790670e9-W6.1
664	Bria 4 4.1.1 74246-7a5660ac-W6.1
423	Bria 4 4.1.1 74246-7b4953ef-W6.1
444	Bria 4 4.1.1 74246-7bfae8cb-W6.1
431	Bria 4 4.1.1 74246-7cb185d8-W6.1
476	Bria 4 4.1.1 74246-7dc02146-W6.1
623	Bria 4 4.1.1 74246-81a5674b-W6.1
194	Bria 4 4.1.1 74246-82510eb3-W6.1
654	Bria 4 4.1.1 74246-834ce1a8-W6.1
2938	Bria 4 4.1.1 74246-83d80366-W6.1
221	Bria 4 4.1.1 74246-8656a7e5-W6.1
226	Bria 4 4.1.1 74246-87e11892-W6.1
350	Bria 4 4.1.1 74246-88dd0216-W6.1
247	Bria 4 4.1.1 74246-8a9422fa-W6.2
748	Bria 4 4.1.1 74246-8b9d2156-W6.1
282	Bria 4 4.1.1 74246-8c5399ce-W6.2
291	Bria 4 4.1.1 74246-8dc88ce2-W6.1
569	Bria 4 4.1.1 74246-934b8474-W6.1
220	Bria 4 4.1.1 74246-93baa12d-W6.1
398	Bria 4 4.1.1 74246-95317bcf-W6.1
468	Bria 4 4.1.1 74246-9b1b7f39-W6.1
296	Bria 4 4.1.1 74246-9b1b7f39-W6.2
531	Bria 4 4.1.1 74246-9c585c4e-W6.1
410	Bria 4 4.1.1 74246-9e1848d5-W6.1
454	Bria 4 4.1.1 74246-9ec3ff42-W6.1
662	Bria 4 4.1.1 74246-a1e463e2-W6.1
