,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
1959,3227975507,393755,CloudPBX,43.6319,-79.3716,755177258,40788,Start Communications,42.9856,-81.1821
2006,3227975507,393755,CloudPBX,43.6319,-79.3716,417208698,11260,EastLink,45.2,-64.1167
2064,1210478362,7992,Cogeco Cable,42.2767,-83.0793,3227975507,393755,CloudPBX,43.6319,-79.3716
2078,1676738700,812,Rogers Communications Canada Inc.,44.5168,-80.0164,3227975506,393755,CloudPBX,43.6319,-79.3716
2146,3227975507,393755,CloudPBX,43.6319,-79.3716,1210478362,7992,Cogeco Cable,42.2767,-83.0793
2159,1761238241,15128,Comwave Telecom Inc.,43.0233,-81.1643,3227975506,393755,CloudPBX,43.6319,-79.3716
2165,1210478362,7992,Cogeco Cable,42.2767,-83.0793,3227975506,393755,CloudPBX,43.6319,-79.3716
2300,3227975506,393755,CloudPBX,43.6319,-79.3716,1210478362,7992,Cogeco Cable,42.2767,-83.0793
2414,412233259,7992,Cogeco Cable,44.9001,-76.2494,3227975507,393755,CloudPBX,43.6319,-79.3716
2416,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379600,7992,Cogeco Cable,42.9888,-82.3592
2470,3227975507,393755,CloudPBX,43.6319,-79.3716,1676535575,812,Rogers Communications Canada Inc.,47.5986,-52.6926
2484,3227975506,393755,CloudPBX,43.6319,-79.3716,1676535575,812,Rogers Communications Canada Inc.,47.5986,-52.6926
2530,3227975506,393755,CloudPBX,43.6319,-79.3716,2904576785,812,Rogers Communications Canada Inc.,47.5986,-52.6926
2579,3227975506,393755,CloudPBX,43.6319,-79.3716,2393257407,855,Bell Canada,47.5334,-52.7595
2591,405972613,40788,Start Communications,42.7898,-80.204,3227975506,393755,CloudPBX,43.6319,-79.3716
2636,412232415,7992,Cogeco Cable,42.95,-82.1167,3227975507,393755,CloudPBX,43.6319,-79.3716
2648,3225808180,7992,Cogeco Cable,43.6319,-79.3716,3227975506,393755,CloudPBX,43.6319,-79.3716
2652,2917629161,22652,Fibrenoire Inc.,43.6784,-79.2941,3227975507,393755,CloudPBX,43.6319,-79.3716
2668,1168513348,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,3227975507,393755,CloudPBX,43.6319,-79.3716
2703,3227975507,393755,CloudPBX,43.6319,-79.3716,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85
2727,3227975507,393755,CloudPBX,43.6319,-79.3716,2393314975,855,Bell Canada,47.5194,-52.8122
2731,1210478642,7992,Cogeco Cable,43.3512,-79.784,3227975507,393755,CloudPBX,43.6319,-79.3716
2779,3227975507,393755,CloudPBX,43.6319,-79.3716,2392989210,855,Bell Canada,47.5986,-52.6926
2793,755177258,40788,Start Communications,42.9856,-81.1821,3227975506,393755,CloudPBX,43.6319,-79.3716
2829,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379600,7992,Cogeco Cable,42.9888,-82.3592
2831,2393249330,855,Bell Canada,47.5124,-52.6729,3227975506,393755,CloudPBX,43.6319,-79.3716
2882,3227975506,393755,CloudPBX,43.6319,-79.3716,3225808180,7992,Cogeco Cable,43.6319,-79.3716
2892,3227975506,393755,CloudPBX,43.6319,-79.3716,3514831954,855,Bell Canada,47.5167,-52.7833
2908,3227975506,393755,CloudPBX,43.6319,-79.3716,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85
2942,3227975506,393755,CloudPBX,43.6319,-79.3716,417208698,11260,EastLink,45.2,-64.1167
2952,3225808180,7992,Cogeco Cable,43.6319,-79.3716,3227975507,393755,CloudPBX,43.6319,-79.3716
2959,846445455,7992,Cogeco Cable,42.9578,-82.2777,3227975507,393755,CloudPBX,43.6319,-79.3716
2973,3227975507,393755,CloudPBX,43.6319,-79.3716,1217118531,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
3040,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943,3227975507,393755,CloudPBX,43.6319,-79.3716
3083,3638379143,7992,Cogeco Cable,43.3799,-79.7668,3227975507,393755,CloudPBX,43.6319,-79.3716
3103,412233259,7992,Cogeco Cable,44.9001,-76.2494,3227975506,393755,CloudPBX,43.6319,-79.3716
3207,3227975507,393755,CloudPBX,43.6319,-79.3716,3626900266,11478,Openface Inc.,45.47,-73.6686
3284,1082947564,40788,Start Communications,43.6572,-79.3783,3227975506,393755,CloudPBX,43.6319,-79.3716
3290,3227975506,393755,CloudPBX,43.6319,-79.3716,2393257259,855,Bell Canada,47.5334,-52.7595
3297,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379143,7992,Cogeco Cable,43.3799,-79.7668
3303,1210458902,7992,Cogeco Cable,42.9998,-82.3926,3227975506,393755,CloudPBX,43.6319,-79.3716
3309,3227975506,393755,CloudPBX,43.6319,-79.3716,1210458902,7992,Cogeco Cable,42.9998,-82.3926
3321,3345303600,14007,Skyway West,43.623,-79.3936,3227975506,393755,CloudPBX,43.6319,-79.3716
3363,755177258,40788,Start Communications,42.9856,-81.1821,3227975507,393755,CloudPBX,43.6319,-79.3716
3367,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943,3227975506,393755,CloudPBX,43.6319,-79.3716
3369,3227975506,393755,CloudPBX,43.6319,-79.3716,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943
3415,3638379143,7992,Cogeco Cable,43.3799,-79.7668,3227975506,393755,CloudPBX,43.6319,-79.3716
3419,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379143,7992,Cogeco Cable,43.3799,-79.7668
3474,2479012700,15128,Comwave Telecom Inc.,44.0168,-78.3995,3227975507,393755,CloudPBX,43.6319,-79.3716
3509,3227975507,393755,CloudPBX,43.6319,-79.3716,1082947488,40788,Start Communications,43.8404,-79.0251
3528,846445455,7992,Cogeco Cable,42.9578,-82.2777,3227975506,393755,CloudPBX,43.6319,-79.3716
3534,3227975506,393755,CloudPBX,43.6319,-79.3716,1168513348,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
3579,3227975507,393755,CloudPBX,43.6319,-79.3716,2479012700,15128,Comwave Telecom Inc.,44.0168,-78.3995
3581,755171943,40788,Start Communications,42.9915,-81.3402,3227975506,393755,CloudPBX,43.6319,-79.3716
3635,3227975506,393755,CloudPBX,43.6319,-79.3716,2479012700,15128,Comwave Telecom Inc.,44.0168,-78.3995
3680,3227975507,393755,CloudPBX,43.6319,-79.3716,1082947564,40788,Start Communications,43.6572,-79.3783
3683,3233437542,7992,Cogeco Cable,42.9578,-82.2777,3227975506,393755,CloudPBX,43.6319,-79.3716
3711,3227975507,393755,CloudPBX,43.6319,-79.3716,3225808180,7992,Cogeco Cable,43.6319,-79.3716
3790,3227975506,393755,CloudPBX,43.6319,-79.3716,1249172405,15122,Point to Point Broadband Inc.,44.4548,-79.7352
3814,1249172405,15122,Point to Point Broadband Inc.,44.4548,-79.7352,3227975506,393755,CloudPBX,43.6319,-79.3716
3846,1082947125,40788,Start Communications,43.6572,-79.3783,3227975507,393755,CloudPBX,43.6319,-79.3716
3865,1082947125,40788,Start Communications,43.6572,-79.3783,3227975506,393755,CloudPBX,43.6319,-79.3716
3978,1210458902,7992,Cogeco Cable,42.9998,-82.3926,3227975507,393755,CloudPBX,43.6319,-79.3716
3993,3227975507,393755,CloudPBX,43.6319,-79.3716,1210458902,7992,Cogeco Cable,42.9998,-82.3926
4019,3227975506,393755,CloudPBX,43.6319,-79.3716,2926783645,812,Rogers Communications Canada Inc.,42.8909,-81.3236
4032,3638379600,7992,Cogeco Cable,42.9888,-82.3592,3227975507,393755,CloudPBX,43.6319,-79.3716
4062,3227975506,393755,CloudPBX,43.6319,-79.3716,1082947184,40788,Start Communications,43.6572,-79.3783
4139,3227975507,393755,CloudPBX,43.6319,-79.3716,2734649389,40788,Start Communications,43.623,-79.3936
4155,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379610,7992,Cogeco Cable,42.9888,-82.3592
4161,1082947564,40788,Start Communications,43.6572,-79.3783,3227975507,393755,CloudPBX,43.6319,-79.3716
4169,1664327376,7018,"AT&T Services, Inc.",42.586,-83.5006,3227975506,393755,CloudPBX,43.6319,-79.3716
4180,3227975507,393755,CloudPBX,43.6319,-79.3716,412232355,7992,Cogeco Cable,42.95,-82.1167
4181,2734649389,40788,Start Communications,43.623,-79.3936,3227975506,393755,CloudPBX,43.6319,-79.3716
4186,3227975506,393755,CloudPBX,43.6319,-79.3716,2734649389,40788,Start Communications,43.623,-79.3936
4202,412232355,7992,Cogeco Cable,42.95,-82.1167,3227975507,393755,CloudPBX,43.6319,-79.3716
4208,3227975507,393755,CloudPBX,43.6319,-79.3716,3514831954,855,Bell Canada,47.5167,-52.7833
4221,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85,3227975507,393755,CloudPBX,43.6319,-79.3716
4229,1210478642,7992,Cogeco Cable,43.3512,-79.784,3227975506,393755,CloudPBX,43.6319,-79.3716
4285,3227975507,393755,CloudPBX,43.6319,-79.3716,1082947125,40788,Start Communications,43.6572,-79.3783
4302,3227975506,393755,CloudPBX,43.6319,-79.3716,412232355,7992,Cogeco Cable,42.95,-82.1167
4328,1082947488,40788,Start Communications,43.8404,-79.0251,3227975507,393755,CloudPBX,43.6319,-79.3716
4365,2734649919,40788,Start Communications,43.623,-79.3936,3227975506,393755,CloudPBX,43.6319,-79.3716
4399,3227975506,393755,CloudPBX,43.6319,-79.3716,2393277605,855,Bell Canada,45.2308,-66.0953
4434,760135190,7992,Cogeco Cable,42.3333,-82.0,3227975507,393755,CloudPBX,43.6319,-79.3716
4472,1168513348,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,3227975506,393755,CloudPBX,43.6319,-79.3716
4482,2734649389,40788,Start Communications,43.623,-79.3936,3227975507,393755,CloudPBX,43.6319,-79.3716
4546,2734649919,40788,Start Communications,43.623,-79.3936,3227975507,393755,CloudPBX,43.6319,-79.3716
4579,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379597,7992,Cogeco Cable,42.9888,-82.3592
4594,3638379600,7992,Cogeco Cable,42.9888,-82.3592,3227975506,393755,CloudPBX,43.6319,-79.3716
4632,3227975506,393755,CloudPBX,43.6319,-79.3716,412233259,7992,Cogeco Cable,44.9001,-76.2494
4654,2926783645,812,Rogers Communications Canada Inc.,42.8909,-81.3236,3227975507,393755,CloudPBX,43.6319,-79.3716
4721,3227975506,393755,CloudPBX,43.6319,-79.3716,1176303759,36522,BELL MOBILITY INC.,44.2099,-80.6238
4725,1217073606,812,Rogers Communications Canada Inc.,43.75,-79.3978,3227975507,393755,CloudPBX,43.6319,-79.3716
4773,3227975506,393755,CloudPBX,43.6319,-79.3716,405976275,40788,Start Communications,43.2271,-79.871
4826,3227975506,393755,CloudPBX,43.6319,-79.3716,3233437542,7992,Cogeco Cable,42.9578,-82.2777
4862,3227975506,393755,CloudPBX,43.6319,-79.3716,1217073606,812,Rogers Communications Canada Inc.,43.75,-79.3978
4869,3227975506,393755,CloudPBX,43.6319,-79.3716,2392989210,855,Bell Canada,47.5986,-52.6926
4904,3227975506,393755,CloudPBX,43.6319,-79.3716,1217118827,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
4910,3227975507,393755,CloudPBX,43.6319,-79.3716,1210478642,7992,Cogeco Cable,43.3512,-79.784
4935,3638379112,7992,Cogeco Cable,42.9888,-82.3592,3227975507,393755,CloudPBX,43.6319,-79.3716
4941,3638379597,7992,Cogeco Cable,42.9888,-82.3592,3227975506,393755,CloudPBX,43.6319,-79.3716
4949,1082947184,40788,Start Communications,43.6572,-79.3783,3227975506,393755,CloudPBX,43.6319,-79.3716
4983,2926902910,812,Rogers Communications Canada Inc.,42.7597,-81.1762,3227975507,393755,CloudPBX,43.6319,-79.3716
5063,3227975507,393755,CloudPBX,43.6319,-79.3716,2266474856,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563
5100,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379699,7992,Cogeco Cable,42.9578,-82.2777
5111,3517667510,852,TELUS Communications Inc.,43.6655,-79.4204,3227975507,393755,CloudPBX,43.6319,-79.3716
5120,3227975506,393755,CloudPBX,43.6319,-79.3716,3345303600,14007,Skyway West,43.623,-79.3936
5140,418079237,812,Rogers Communications Canada Inc.,43.6319,-79.3716,3227975507,393755,CloudPBX,43.6319,-79.3716
5195,1761238421,15128,Comwave Telecom Inc.,43.8432,-79.5644,3227975507,393755,CloudPBX,43.6319,-79.3716
5279,3227975506,393755,CloudPBX,43.6319,-79.3716,2393314975,855,Bell Canada,47.5194,-52.8122
5281,418079237,812,Rogers Communications Canada Inc.,43.6319,-79.3716,3227975506,393755,CloudPBX,43.6319,-79.3716
5365,3227975506,393755,CloudPBX,43.6319,-79.3716,418079237,812,Rogers Communications Canada Inc.,43.6319,-79.3716
5369,2393257259,855,Bell Canada,47.5334,-52.7595,3227975507,393755,CloudPBX,43.6319,-79.3716
5389,3233432126,7992,Cogeco Cable,43.3799,-79.7668,3227975506,393755,CloudPBX,43.6319,-79.3716
5417,405972604,40788,Start Communications,43.5588,-80.3004,3227975507,393755,CloudPBX,43.6319,-79.3716
5422,3227975507,393755,CloudPBX,43.6319,-79.3716,2393277605,855,Bell Canada,45.2308,-66.0953
5506,3227975507,393755,CloudPBX,43.6319,-79.3716,1249171666,15122,Point to Point Broadband Inc.,44.4167,-80.0833
5516,1210492883,7992,Cogeco Cable,42.9578,-82.2777,3227975506,393755,CloudPBX,43.6319,-79.3716
5634,1249601702,14860,"SMARTCOM TELEPHONE, LLC",26.2159,-98.3253,3227975507,393755,CloudPBX,43.6319,-79.3716
5636,417208698,11260,EastLink,45.2,-64.1167,3227975507,393755,CloudPBX,43.6319,-79.3716
5655,1676626115,812,Rogers Communications Canada Inc.,43.0123,-81.2307,3227975507,393755,CloudPBX,43.6319,-79.3716
5742,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379597,7992,Cogeco Cable,42.9888,-82.3592
5764,3227975507,393755,CloudPBX,43.6319,-79.3716,846445455,7992,Cogeco Cable,42.9578,-82.2777
5776,3227975506,393755,CloudPBX,43.6319,-79.3716,755171943,40788,Start Communications,42.9915,-81.3402
5792,3227975506,393755,CloudPBX,43.6319,-79.3716,1677619609,812,Rogers Communications Canada Inc.,43.0147,-81.3049
5812,3227975506,393755,CloudPBX,43.6319,-79.3716,3518471202,7794,Execulink Telecom Inc.,42.9856,-81.1821
5850,3227975506,393755,CloudPBX,43.6319,-79.3716,2926902910,812,Rogers Communications Canada Inc.,42.7597,-81.1762
5876,3227975506,393755,CloudPBX,43.6319,-79.3716,1082947564,40788,Start Communications,43.6572,-79.3783
5907,3227975507,393755,CloudPBX,43.6319,-79.3716,1217118827,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
5946,2926902910,812,Rogers Communications Canada Inc.,42.7597,-81.1762,3227975506,393755,CloudPBX,43.6319,-79.3716
5958,3638379597,7992,Cogeco Cable,42.9888,-82.3592,3227975507,393755,CloudPBX,43.6319,-79.3716
5988,3227975506,393755,CloudPBX,43.6319,-79.3716,1210458660,7992,Cogeco Cable,42.9062,-82.11
6008,3227975507,393755,CloudPBX,43.6319,-79.3716,3518471202,7794,Execulink Telecom Inc.,42.9856,-81.1821
6024,3227975506,393755,CloudPBX,43.6319,-79.3716,2914253051,5769,Videotron Telecom Ltee,45.5528,-73.6411
6050,3227975506,393755,CloudPBX,43.6319,-79.3716,1676918269,812,Rogers Communications Canada Inc.,43.0443,-81.2391
6215,3227975506,393755,CloudPBX,43.6319,-79.3716,1210498534,7992,Cogeco Cable,42.8833,-82.15
6225,3227975506,393755,CloudPBX,43.6319,-79.3716,1249171666,15122,Point to Point Broadband Inc.,44.4167,-80.0833
6237,215430723,7018,"AT&T Services, Inc.",37.751,-97.822,3227975486,393755,CloudPBX,43.6319,-79.3716
6263,3345303600,14007,Skyway West,43.623,-79.3936,3227975507,393755,CloudPBX,43.6319,-79.3716
6274,3227975507,393755,CloudPBX,43.6319,-79.3716,1168513348,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
6296,3227975506,393755,CloudPBX,43.6319,-79.3716,1210478642,7992,Cogeco Cable,43.3512,-79.784
6438,3233437542,7992,Cogeco Cable,42.9578,-82.2777,3227975507,393755,CloudPBX,43.6319,-79.3716
6454,3227975507,393755,CloudPBX,43.6319,-79.3716,418079237,812,Rogers Communications Canada Inc.,43.6319,-79.3716
6477,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379610,7992,Cogeco Cable,42.9888,-82.3592
6491,3227975506,393755,CloudPBX,43.6319,-79.3716,2393257058,855,Bell Canada,47.5334,-52.7595
6493,3233437606,7992,Cogeco Cable,42.9578,-82.2777,3227975506,393755,CloudPBX,43.6319,-79.3716
6640,3227975507,393755,CloudPBX,43.6319,-79.3716,2926902910,812,Rogers Communications Canada Inc.,42.7597,-81.1762
6765,3227975506,393755,CloudPBX,43.6319,-79.3716,1210492887,7992,Cogeco Cable,42.9578,-82.2777
6776,3227975506,393755,CloudPBX,43.6319,-79.3716,3480447027,11478,Openface Inc.,45.4805,-73.5554
6779,1210492887,7992,Cogeco Cable,42.9578,-82.2777,3227975507,393755,CloudPBX,43.6319,-79.3716
6781,1217118827,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,3227975507,393755,CloudPBX,43.6319,-79.3716
6800,1279424612,577,Bell Canada,44.3572,-79.6929,3227975506,393755,CloudPBX,43.6319,-79.3716
6896,1082947124,40788,Start Communications,43.6572,-79.3783,3227975506,393755,CloudPBX,43.6319,-79.3716
6900,3227975506,393755,CloudPBX,43.6319,-79.3716,1082947124,40788,Start Communications,43.6572,-79.3783
7007,1676539840,812,Rogers Communications Canada Inc.,47.6333,-52.85,3227975506,393755,CloudPBX,43.6319,-79.3716
7052,3227975507,393755,CloudPBX,43.6319,-79.3716,1210498534,7992,Cogeco Cable,42.8833,-82.15
7084,3227975507,393755,CloudPBX,43.6319,-79.3716,3638379112,7992,Cogeco Cable,42.9888,-82.3592
7123,3227975507,393755,CloudPBX,43.6319,-79.3716,1210505669,7992,Cogeco Cable,42.9578,-82.2777
7202,3227975506,393755,CloudPBX,43.6319,-79.3716,411891757,40788,Start Communications,42.9888,-82.3592
7210,3227975486,393755,CloudPBX,43.6319,-79.3716,215430723,7018,"AT&T Services, Inc.",37.751,-97.822
7229,3227975506,393755,CloudPBX,43.6319,-79.3716,1612181439,5769,Videotron Telecom Ltee,45.4667,-73.8833
7266,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379112,7992,Cogeco Cable,42.9888,-82.3592
7318,1754333190,15290,Allstream Corp.,43.6513,-79.3756,3227975506,393755,CloudPBX,43.6319,-79.3716
7330,3227975506,393755,CloudPBX,43.6319,-79.3716,2734649919,40788,Start Communications,43.623,-79.3936
7434,3227975507,393755,CloudPBX,43.6319,-79.3716,405971680,40788,Start Communications,43.323,-79.8092
7460,3227975487,393755,CloudPBX,43.6319,-79.3716,215430723,7018,"AT&T Services, Inc.",37.751,-97.822
7536,3227975506,393755,CloudPBX,43.6319,-79.3716,1210505719,7992,Cogeco Cable,42.9578,-82.2777
7544,755175188,40788,Start Communications,42.9915,-81.3402,3227975506,393755,CloudPBX,43.6319,-79.3716
7568,3227975507,393755,CloudPBX,43.6319,-79.3716,412232343,7992,Cogeco Cable,42.95,-82.1167
7617,3227975506,393755,CloudPBX,43.6319,-79.3716,1210508163,7992,Cogeco Cable,42.9888,-82.3592
7626,3227975506,393755,CloudPBX,43.6319,-79.3716,1761238166,15128,Comwave Telecom Inc.,43.0233,-81.1643
7630,3227975506,393755,CloudPBX,43.6319,-79.3716,3638379076,7992,Cogeco Cable,42.9888,-82.3592
7635,3227975507,393755,CloudPBX,43.6319,-79.3716,3091461651,6327,Shaw Communications Inc.,49.1285,-122.6236
7641,3227975506,393755,CloudPBX,43.6319,-79.3716,1210458758,7992,Cogeco Cable,42.9888,-82.3592
7649,3227975507,393755,CloudPBX,43.6319,-79.3716,1749006169,7018,"AT&T Services, Inc.",39.9738,-86.1765
7665,3227975507,393755,CloudPBX,43.6319,-79.3716,1761238166,15128,Comwave Telecom Inc.,43.0233,-81.1643
7689,3638379076,7992,Cogeco Cable,42.9888,-82.3592,3227975506,393755,CloudPBX,43.6319,-79.3716
7701,3227975506,393755,CloudPBX,43.6319,-79.3716,1082947125,40788,Start Communications,43.6572,-79.3783
7760,1168513323,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,3227975507,393755,CloudPBX,43.6319,-79.3716
7762,755174586,40788,Start Communications,43.6656,-79.383,3227975506,393755,CloudPBX,43.6319,-79.3716
7801,1168513323,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,3227975506,393755,CloudPBX,43.6319,-79.3716
7833,1676231243,812,Rogers Communications Canada Inc.,44.3572,-79.6929,3227975506,393755,CloudPBX,43.6319,-79.3716
7853,3227975507,393755,CloudPBX,43.6319,-79.3716,755174458,40788,Start Communications,43.2055,-79.9004
7892,412232415,7992,Cogeco Cable,42.95,-82.1167,3227975506,393755,CloudPBX,43.6319,-79.3716
7984,3227975507,393755,CloudPBX,43.6319,-79.3716,2914253051,5769,Videotron Telecom Ltee,45.5528,-73.6411
7990,3638379050,7992,Cogeco Cable,42.9888,-82.3592,3227975506,393755,CloudPBX,43.6319,-79.3716
