,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
961,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104
994,395766,CloudPBX,40.7432,-75.2242,11260,EastLink,45.2,-64.1167
1016,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716
1107,11260,EastLink,45.2,-64.1167,395766,CloudPBX,40.7432,-75.2242
1157,393755,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326
1220,40788,Start Communications,43.5148,-79.884,393755,CloudPBX,43.6319,-79.3716
1228,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884
1266,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,393755,CloudPBX,43.6319,-79.3716
1279,852,TELUS Communications Inc.,48.4993,-123.4003,393755,CloudPBX,43.6319,-79.3716
1297,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3397,-123.1912
1314,393755,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5
1353,852,TELUS Communications Inc.,43.6655,-79.4204,393755,CloudPBX,43.6319,-79.3716
1427,7992,Cogeco Cable,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716
1437,393755,CloudPBX,43.6319,-79.3716,22773,Cox Communications Inc.,32.2541,-110.8785
1472,40788,Start Communications,43.2271,-79.871,393755,CloudPBX,43.6319,-79.3716
1486,852,TELUS Communications Inc.,49.2275,-122.9301,395152,CloudPBX,43.6319,-79.3716
1512,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4881,-79.7098
1558,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2271,-79.871
1581,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777
1583,7992,Cogeco Cable,42.9578,-82.2777,393755,CloudPBX,43.6319,-79.3716
1589,40788,Start Communications,43.4881,-79.7098,393755,CloudPBX,43.6319,-79.3716
1591,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0147,-81.3049
1625,393755,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6655,-79.4204
1629,393755,CloudPBX,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
1631,40788,Start Communications,43.4032,-79.7186,393755,CloudPBX,43.6319,-79.3716
1641,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0233,-81.1643
1655,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4032,-79.7186
1681,40788,Start Communications,43.0233,-81.1643,393755,CloudPBX,43.6319,-79.3716
1728,16696,iTel Networks Inc,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716
1749,812,Rogers Communications Canada Inc.,47.6333,-52.85,395766,CloudPBX,40.7432,-75.2242
1766,812,Rogers Communications Canada Inc.,44.5168,-80.0164,393755,CloudPBX,43.6319,-79.3716
1768,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242
1782,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5124,-52.6729
1788,15128,Comwave Telecom Inc.,44.0168,-78.3995,393755,CloudPBX,43.6319,-79.3716
1855,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595
1874,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5334,-52.7595
1878,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242
1896,855,Bell Canada,47.5124,-52.6729,393755,CloudPBX,43.6319,-79.3716
1900,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9856,-81.1821
1925,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0123,-81.2307
1937,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926
1941,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242
1942,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729
1979,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242
2006,393755,CloudPBX,43.6319,-79.3716,11260,EastLink,45.2,-64.1167
2064,7992,Cogeco Cable,42.2767,-83.0793,393755,CloudPBX,43.6319,-79.3716
2080,855,Bell Canada,45.2308,-66.0953,395766,CloudPBX,40.7432,-75.2242
2134,395766,CloudPBX,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489
2146,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2767,-83.0793
2159,15128,Comwave Telecom Inc.,43.0233,-81.1643,393755,CloudPBX,43.6319,-79.3716
2199,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242
2319,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.6333,-52.85
2399,395766,CloudPBX,40.7432,-75.2242,13768,Cogeco Peer 1,43.6021,-79.5402
2414,7992,Cogeco Cable,44.9001,-76.2494,393755,CloudPBX,43.6319,-79.3716
2416,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592
2470,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.5986,-52.6926
2479,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,48.9682,-54.5906
2591,40788,Start Communications,42.7898,-80.204,393755,CloudPBX,43.6319,-79.3716
2636,7992,Cogeco Cable,42.95,-82.1167,393755,CloudPBX,43.6319,-79.3716
2652,22652,Fibrenoire Inc.,43.6784,-79.2941,393755,CloudPBX,43.6319,-79.3716
2668,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,393755,CloudPBX,43.6319,-79.3716
2703,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.6333,-52.85
2707,855,Bell Canada,45.0691,-64.4696,395766,CloudPBX,40.7432,-75.2242
2727,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5194,-52.8122
2731,7992,Cogeco Cable,43.3512,-79.784,393755,CloudPBX,43.6319,-79.3716
2779,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5986,-52.6926
2793,40788,Start Communications,42.9856,-81.1821,393755,CloudPBX,43.6319,-79.3716
2833,11478,Openface Inc.,45.47,-73.6686,395766,CloudPBX,40.7432,-75.2242
2838,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.47,-73.6686
2882,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.6319,-79.3716
2892,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5167,-52.7833
2897,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242
3026,14007,Skyway West,43.623,-79.3936,395152,CloudPBX,43.6319,-79.3716
3027,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623,-79.3936
3040,812,Rogers Communications Canada Inc.,43.0614,-80.9943,393755,CloudPBX,43.6319,-79.3716
3083,7992,Cogeco Cable,43.3799,-79.7668,393755,CloudPBX,43.6319,-79.3716
3207,393755,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.47,-73.6686
3284,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716
3293,5769,Videotron Telecom Ltee,45.5528,-73.6411,395766,CloudPBX,40.7432,-75.2242
3297,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3799,-79.7668
3303,7992,Cogeco Cable,42.9998,-82.3926,393755,CloudPBX,43.6319,-79.3716
3309,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9998,-82.3926
3321,14007,Skyway West,43.623,-79.3936,393755,CloudPBX,43.6319,-79.3716
3369,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943
3509,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8404,-79.0251
3534,393755,CloudPBX,43.6319,-79.3716,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
3579,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,44.0168,-78.3995
3581,40788,Start Communications,42.9915,-81.3402,393755,CloudPBX,43.6319,-79.3716
3641,577,Bell Canada,46.7749,-71.3344,395766,CloudPBX,40.7432,-75.2242
3680,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783
3790,393755,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4548,-79.7352
3814,15122,Point to Point Broadband Inc.,44.4548,-79.7352,393755,CloudPBX,43.6319,-79.3716
4019,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.8909,-81.3236
4032,7992,Cogeco Cable,42.9888,-82.3592,393755,CloudPBX,43.6319,-79.3716
4139,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.623,-79.3936
4160,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5528,-73.6411
4169,7018,"AT&T Services, Inc.",42.586,-83.5006,393755,CloudPBX,43.6319,-79.3716
4177,5769,Videotron Telecom Ltee,46.8287,-71.334,395766,CloudPBX,40.7432,-75.2242
4180,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167
4181,40788,Start Communications,43.623,-79.3936,393755,CloudPBX,43.6319,-79.3716
4221,812,Rogers Communications Canada Inc.,47.6333,-52.85,393755,CloudPBX,43.6319,-79.3716
4276,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943
4298,812,Rogers Communications Canada Inc.,43.0614,-80.9943,395152,CloudPBX,43.6319,-79.3716
4328,40788,Start Communications,43.8404,-79.0251,393755,CloudPBX,43.6319,-79.3716
4399,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,45.2308,-66.0953
4434,7992,Cogeco Cable,42.3333,-82.0,393755,CloudPBX,43.6319,-79.3716
4632,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.9001,-76.2494
4654,812,Rogers Communications Canada Inc.,42.8909,-81.3236,393755,CloudPBX,43.6319,-79.3716
4656,15290,Allstream Corp.,43.6655,-79.4204,395152,CloudPBX,43.6319,-79.3716
4721,393755,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,44.2099,-80.6238
4725,812,Rogers Communications Canada Inc.,43.75,-79.3978,393755,CloudPBX,43.6319,-79.3716
4848,812,Rogers Communications Canada Inc.,48.9682,-54.5906,395766,CloudPBX,40.7432,-75.2242
4851,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,45.0691,-64.4696
4862,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.75,-79.3978
4910,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3512,-79.784
4969,14007,Skyway West,43.623,-79.3936,395766,CloudPBX,40.7432,-75.2242
4971,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,43.623,-79.3936
4983,812,Rogers Communications Canada Inc.,42.7597,-81.1762,393755,CloudPBX,43.6319,-79.3716
5063,393755,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563
5120,393755,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623,-79.3936
5140,812,Rogers Communications Canada Inc.,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716
5195,15128,Comwave Telecom Inc.,43.8432,-79.5644,393755,CloudPBX,43.6319,-79.3716
5365,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6319,-79.3716
5369,855,Bell Canada,47.5334,-52.7595,393755,CloudPBX,43.6319,-79.3716
5417,40788,Start Communications,43.5588,-80.3004,393755,CloudPBX,43.6319,-79.3716
5457,812,Rogers Communications Canada Inc.,43.0443,-81.2391,395766,CloudPBX,40.7432,-75.2242
5506,393755,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4167,-80.0833
5634,14860,"SMARTCOM TELEPHONE, LLC",26.2159,-98.3253,393755,CloudPBX,43.6319,-79.3716
5636,11260,EastLink,45.2,-64.1167,393755,CloudPBX,43.6319,-79.3716
5655,812,Rogers Communications Canada Inc.,43.0123,-81.2307,393755,CloudPBX,43.6319,-79.3716
5776,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9915,-81.3402
5792,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0147,-81.3049
5812,393755,CloudPBX,43.6319,-79.3716,7794,Execulink Telecom Inc.,42.9856,-81.1821
5820,5769,Videotron Telecom Ltee,45.4667,-73.8833,395766,CloudPBX,40.7432,-75.2242
5850,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.7597,-81.1762
5852,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242
5858,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,46.8287,-71.334
5988,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9062,-82.11
6024,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5528,-73.6411
6028,812,Rogers Communications Canada Inc.,43.8582,-79.3985,395766,CloudPBX,40.7432,-75.2242
6050,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0443,-81.2391
6083,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5194,-52.8122
6105,812,Rogers Communications Canada Inc.,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242
6215,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.8833,-82.15
6394,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5167,-52.7833
6579,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,46.7749,-71.3344
6591,11478,Openface Inc.,45.4805,-73.5554,395766,CloudPBX,40.7432,-75.2242
6773,7018,"AT&T Services, Inc.",39.7838,-86.0477,395766,CloudPBX,40.7432,-75.2242
6776,393755,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.4805,-73.5554
6800,577,Bell Canada,44.3572,-79.6929,393755,CloudPBX,43.6319,-79.3716
7038,13768,Cogeco Peer 1,43.6021,-79.5402,395766,CloudPBX,40.7432,-75.2242
7202,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9888,-82.3592
7210,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",37.751,-97.822
7229,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.4667,-73.8833
7318,15290,Allstream Corp.,43.6513,-79.3756,393755,CloudPBX,43.6319,-79.3716
7364,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941,395152,CloudPBX,43.6319,-79.3716
7434,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.323,-79.8092
7492,7018,"AT&T Services, Inc.",39.8227,-86.145,395766,CloudPBX,40.7432,-75.2242
7552,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,395766,CloudPBX,40.7432,-75.2242
7603,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.4914,-113.4802
7626,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.0233,-81.1643
7635,393755,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1285,-122.6236
7649,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.9738,-86.1765
7657,7018,"AT&T Services, Inc.",39.8686,-86.1003,395766,CloudPBX,40.7432,-75.2242
7747,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1285,-122.6236
7762,40788,Start Communications,43.6656,-79.383,393755,CloudPBX,43.6319,-79.3716
7833,812,Rogers Communications Canada Inc.,44.3572,-79.6929,393755,CloudPBX,43.6319,-79.3716
7853,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2055,-79.9004
8037,5769,Videotron Telecom Ltee,45.5528,-73.6411,393755,CloudPBX,43.6319,-79.3716
8053,393755,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
8235,14007,Skyway West,48.4167,-123.365,395152,CloudPBX,43.6319,-79.3716
8260,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.8432,-79.5644
8367,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6656,-79.383
8417,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8582,-79.3985
8496,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326
8509,7992,Cogeco Cable,42.2949,-83.052,393755,CloudPBX,43.6319,-79.3716
8538,852,TELUS Communications Inc.,49.076,-121.9883,395152,CloudPBX,43.6319,-79.3716
8541,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0384,-122.3485
8622,14007,Skyway West,49.2807,-123.0397,395152,CloudPBX,43.6319,-79.3716
8656,5645,"TekSavvy Solutions, Inc.",42.9976,-81.2563,393755,CloudPBX,43.6319,-79.3716
8922,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8686,-86.1003
8943,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2807,-123.0397
8955,812,Rogers Communications Canada Inc.,43.0443,-81.2391,393755,CloudPBX,43.6319,-79.3716
9122,6327,Shaw Communications Inc.,53.5185,-113.6579,393755,CloudPBX,43.6319,-79.3716
9227,395766,CloudPBX,40.7432,-75.2242,7992,Cogeco Cable,42.9888,-82.3592
9237,5769,Videotron Telecom Ltee,45.5354,-73.6061,395766,CloudPBX,40.7432,-75.2242
9239,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8227,-86.145
9542,393755,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977
9582,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,395766,CloudPBX,40.7432,-75.2242
9642,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.3333,-82.0
9684,812,Rogers Communications Canada Inc.,44.0433,-79.4912,395152,CloudPBX,43.6319,-79.3716
9741,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.1665,-77.4037
9997,36522,BELL MOBILITY INC.,44.2099,-80.6238,393755,CloudPBX,43.6319,-79.3716
10014,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.4805,-73.5554
10118,7794,Execulink Telecom Inc.,42.9856,-81.1821,393755,CloudPBX,43.6319,-79.3716
10167,7018,"AT&T Services, Inc.",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242
10194,40788,Start Communications,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242
10267,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.6087,-79.4207
10388,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,46.7749,-71.3344
10415,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5354,-73.6061
10488,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.7276,-79.3148
10999,812,Rogers Communications Canada Inc.,43.1432,-80.7338,393755,CloudPBX,43.6319,-79.3716
11052,395152,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.47,-73.6686
11068,6327,Shaw Communications Inc.,49.6511,-112.8351,395152,CloudPBX,43.6319,-79.3716
11069,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2788,-123.1139
11101,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,395766,CloudPBX,40.7432,-75.2242
11165,393755,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.8333,-79.5
11187,393755,CloudPBX,43.6319,-79.3716,15290,Allstream Corp.,43.6655,-79.4204
11316,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.1432,-80.7338
11476,6171,WorldGate,53.4914,-113.4802,393755,CloudPBX,43.6319,-79.3716
11503,7018,"AT&T Services, Inc.",42.5038,-83.4764,393755,CloudPBX,43.6319,-79.3716
11550,20161,TeraGo Networks Inc.,43.8227,-79.3946,393755,CloudPBX,43.6319,-79.3716
11583,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.0433,-79.4912
11607,577,Bell Canada,43.6656,-79.383,393755,CloudPBX,43.6319,-79.3716
11618,852,TELUS Communications Inc.,53.585,-113.5526,395152,CloudPBX,43.6319,-79.3716
11628,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.076,-121.9883
11775,852,TELUS Communications Inc.,51.0242,-114.1004,395152,CloudPBX,43.6319,-79.3716
11781,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,51.0242,-114.1004
11794,40788,Start Communications,43.323,-79.8092,393755,CloudPBX,43.6319,-79.3716
11882,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,395766,CloudPBX,40.7432,-75.2242
11940,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6572,-79.3783
12012,393755,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8512,-86.2651
12147,393755,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,46.8287,-71.334
